id,dispute_id,submission_id,score_type,score,recorded_by,notes,created_at
1,185,1165,PREVIOUS,77.71,20,Backfilled previous score for existing open dispute,3/4/2026 8:22:11 PM
2,187,1185,PREVIOUS,87.13,20,Backfilled previous score for existing open dispute,3/6/2026 3:16:50 PM
3,189,1203,PREVIOUS,98.13,25,Backfilled previous score for existing open dispute,3/9/2026 4:14:13 PM
4,190,1206,PREVIOUS,74.59,20,Backfilled previous score for existing open dispute,3/9/2026 4:25:29 PM
5,191,1218,PREVIOUS,97.61,17,Backfilled previous score for existing open dispute,3/10/2026 5:48:47 PM
6,192,1184,PREVIOUS,87.13,21,Backfilled previous score for existing open dispute,3/10/2026 5:59:24 PM
7,193,1216,PREVIOUS,87.69,21,Backfilled previous score for existing open dispute,3/10/2026 6:02:41 PM
8,194,1213,PREVIOUS,92.39,12,Backfilled previous score for existing open dispute,3/10/2026 7:55:22 PM
9,195,1248,PREVIOUS,89.64,20,Backfilled previous score for existing open dispute,3/11/2026 8:20:52 PM
16,196,1254,PREVIOUS,60.85,20,Score captured when dispute was created,3/13/2026 12:49:31 PM
17,197,1233,PREVIOUS,68.44,13,Score captured when dispute was created,3/13/2026 2:58:06 PM
18,198,1273,PREVIOUS,82.43,25,Score captured when dispute was created,3/13/2026 7:33:48 PM
19,185,1165,ADJUSTED,86.74,8,Score recalculated after dispute form edits,3/13/2026 8:56:07 PM
20,193,1216,ADJUSTED,92.58,8,Score recalculated after dispute form edits,3/16/2026 2:06:50 PM
21,198,1273,ADJUSTED,100.0,8,Score recalculated after dispute form edits,3/16/2026 3:21:28 PM
22,194,1213,ADJUSTED,97.41,8,Score recalculated after dispute form edits,3/16/2026 3:52:50 PM
23,199,1286,PREVIOUS,97.01,12,Score captured when dispute was created,3/16/2026 5:24:08 PM
24,200,1296,PREVIOUS,70.13,16,Score captured when dispute was created,3/16/2026 9:17:16 PM
25,201,1298,PREVIOUS,90.0,20,Score captured when dispute was created,3/17/2026 6:15:23 PM
26,202,1300,PREVIOUS,90.74,28,Score captured when dispute was created,3/17/2026 8:38:28 PM
27,199,1286,ADJUSTED,98.1,8,Score recalculated after dispute form edits,3/17/2026 8:55:14 PM
28,203,1306,PREVIOUS,92.24,21,Score captured when dispute was created,3/18/2026 12:47:42 PM
29,204,1282,PREVIOUS,74.47,21,Score captured when dispute was created,3/18/2026 12:54:58 PM
30,204,1282,ADJUSTED,96.71,8,Score recalculated after dispute form edits,3/18/2026 1:15:40 PM
31,205,1314,PREVIOUS,92.26,12,Score captured when dispute was created,3/18/2026 4:10:41 PM
32,206,1326,PREVIOUS,88.87,12,Score captured when dispute was created,3/19/2026 2:26:18 PM
33,201,1298,ADJUSTED,100.0,8,Score recalculated after dispute form edits,3/19/2026 5:10:47 PM
34,207,1336,PREVIOUS,92.26,23,Score captured when dispute was created,3/19/2026 8:49:47 PM
35,208,1333,PREVIOUS,74.9,19,Score captured when dispute was created,3/20/2026 1:39:23 PM
36,209,1341,PREVIOUS,83.72,21,Score captured when dispute was created,3/20/2026 3:30:48 PM
37,210,1353,PREVIOUS,94.6,12,Score captured when dispute was created,3/23/2026 4:00:24 PM
